#separator:tab
#html:true
#columns:Front	Back	Tags
В чем разница между FragmentPagerAdapter и FragmentStatePagerAdapter?	<ul><li><code>FragmentPagerAdapter</code>: Каждый <code>Fragment</code>, посещенный пользователем, будет храниться в памяти, но представление будет уничтожено. Когда страница снова посещается, то создается представление, а не экземпляр фрагмента.</li><li><code>FragmentStatePagerAdapter</code>: Здесь экземпляр фрагмента будет уничтожен, когда он не виден пользователю, за исключением сохраненного состояния фрагмента.</li></ul>	android_interview android
В чем разница между добавлением/заменой фрагмента в backstack?	<p>При добавлении фрагмента, он размещается поверх предыдущего, не удаляя его, в то время как замена удаляет текущий фрагмент и добавляет новый. Использование addToBackStack() позволяет возвращаться к предыдущему фрагменту с помощью кнопки "Назад".</p>	android_interview android
Как осуществляется коммуникация между двумя Fragments?	<ul><li>Через ViewModel</li><li>Через Activity</li></ul>	android_interview android
Что такое retained Fragment?	<p>По умолчанию, <code>Fragments</code> уничтожаются и пересоздаются вместе с их родительскими <code>Activities</code> при изменении конфигурации. Вызов <code>setRetainInstance(true)</code> позволяет нам обойти этот цикл уничтожения и пересоздания, сигнализируя системе о сохранении текущего экземпляра фрагмента, когда <code>Activity</code> пересоздается.</p>	android_interview android
Какова цель addToBackStack() при выполнении транзакции фрагмента?	<p>При вызове <code>addToBackStack()</code>, транзакция замены сохраняется в стеке возврата, так что пользователь может отменить транзакцию и вернуть предыдущий фрагмент, нажав кнопку Назад.</p>	android_interview android
Что такое View в Android?	<p><b>View</b> объекты являются основными строительными блоками элементов пользовательского интерфейса (UI) в <code>Android</code>. View это простая прямоугольная коробка, которая реагирует на действия пользователя. Примеры включают <code>EditText</code>, <code>Button</code>, <code>CheckBox</code> и т. д. View относится к классу <code>android.view.View</code>, который является базовым классом всех классов UI.</p>	android_interview android
Процесс отрисовки View	<p>1. <b>Measure (Измерение)</b>: На этом этапе система определяет размеры View. Родительский элемент спрашивает каждого из своих дочерних элементов, сколько места они нуждаются для отображения. Это делается через вызов метода measure(int, int). Дочерние элементы должны затем самостоятельно вычислить и указать свои размеры, вызывая метод setMeasuredDimension(int, int). Этот процесс рекурсивно повторяется для всех элементов иерархии View.</p><p>2. <b>Layout (Размещение)</b>: После того как были измерены размеры всех View, начинается этап размещения. На этом этапе определяется, где именно в родительском элементе будет находиться каждый дочерний элемент. Это делается путем вызова метода layout(int, int, int, int), который устанавливает фактические положение и размер каждого View. Координаты и размеры задаются относительно родительского элемента.</p><p>3. <b>Draw (Отрисовка)</b>: На последнем этапе система отрисовывает View на экране. Это включает в себя отрисовку фона, содержимого (текст, изображения и т.д.) и любых анимаций или декораций. Отрисовка происходит в методе draw(Canvas), который вызывает такие методы, как onDraw(Canvas), dispatchDraw(Canvas) для дочерних элементов и onDrawForeground(Canvas) для отрисовки элементов переднего плана (например, прокрутки или фокуса).</p>	android_interview android
Жизненный цикл View:	<p><img src="view-lifecycle.png" alt="view lifecycle"></p><p>1. <b>onAttachedToWindow()</b>: Этот метод вызывается, когда View было прикреплено к окну. Это первый шаг, когда View становится видимым в приложении. Здесь можно инициализировать анимации или начать мониторить изменения в системе. Это также сигнализирует, что View теперь может взаимодействовать с пользователем.</p><p>2. <b>measure()</b>: Это внутренний метод системы Android, который запускает процесс измерения View путём вызова onMeasure(). Этот метод не предназначен для переопределения, но он важен, так как инициирует определение размера View.</p><p>3. <b>onMeasure(int, int)</b>: В onMeasure(), View определяет, какого размера оно должно быть, исходя из предложений (specifications) родительского элемента. View должно вызвать setMeasuredDimension(int width, int height) для сохранения измеренных размеров. Это переопределяемый метод, который вы можете использовать, чтобы управлять размером вашего View.</p><p>4. <b>layout()</b>: Это другой внутренний метод системы, который вызывается после завершения процесса измерения. Он отвечает за расположение View в родительском контейнере. Этот метод также не предназначен для переопределения.</p><p>5. <b>onLayout(boolean, int, int, int, int)</b>: После метода layout(), onLayout() вызывается для того, чтобы View расположило себя и все свои дочерние элементы. В случае с ViewGroup, здесь определяется местоположение дочерних View. Это переопределяемый метод, где вы устанавливаете, где должны находиться дочерние элементы внутри ViewGroup.</p><p>6. <b>dispatchDraw(Canvas)</b>: dispatchDraw используется в ViewGroup для рисования дочерних View. Этот метод вызывается системой для рисования содержимого, и обычно его не нужно переопределять, но вы можете это сделать, чтобы управлять тем, как ваши дочерние View рисуются.</p><p>7. <b>draw(Canvas)</b>: Это внутренний метод, который управляет всем процессом рисования, включая вызов onDraw(), рисование фона, дочерних представлений, скроллирования и т. д. Этот метод обычно не переопределяется, так как он обрабатывает несколько задач рисования и делегирует основную работу onDraw().</p><p>8. <b>onDraw(Canvas)</b>: onDraw() — это где вы определяете, как View должно отображать свое содержимое. Это может включать рисование форм, текста, изображений или других графических элементов. Этот метод переопределяется, когда вы создаете пользовательский View и хотите контролировать его визуальное представление.</p>	android_interview android
В чем разница между методами invalidateLayout и requestLayout?	<ul><li><code>invalidate()</code>: Вызывается, когда view должно быть перерисовано, но его размер и позиция не изменяются.</li><li><code>requestLayout()</code>: Вызывается, когда view должно быть измерено и размещено заново, что может привести к изменению размеров и позиции как этого view, так и его потомков.</li></ul>	android_interview android
Разница между View.GONE и View.INVISIBLE?	<ul><li><b>View.GONE</b> - этот параметр делает представление полностью невидимым и не занимает место в макете.</li><li><b>View.INVISIBLE</b> - представление остается невидимым, но все еще занимает место в макете.</li></ul>	android_interview android
Можете ли вы создать пользовательский View? Как?	<p>Да, можно создать пользовательский View в Android. Это делается путем наследования от класса View или одного из его подклассов и переопределения методов, таких как <code>onDraw()</code>, для рисования контента вида или <code>onMeasure()</code> для определения размера вида.</p>	android_interview android
Что такое ViewGroup и чем они отличаются от View?	<ul><li><b>View</b> - объекты View являются основными строительными блоками элементов пользовательского интерфейса (UI) в <code>Android</code>. View это простая прямоугольная коробка, которая реагирует на действия пользователя. Примеры включают <code>EditText</code>, <code>Button</code>, <code>CheckBox</code> и т. д. View относится к классу <code>android.view.View</code>, который является базовым классом всех классов UI.</li><li><b>ViewGroup</b> - ViewGroup это невидимый контейнер. Он содержит <b>View</b>s и <b>ViewGroup</b>s. Например, <code>LinearLayout</code> это ViewGroup, который содержит <code>Button</code>(View), и другие компоновки также. ViewGroup является базовым классом для компоновок.</li></ul>	android_interview android
Что такое Canvas?	<p><b>Canvas</b> — это одна из основных функций встроенного в Android фреймворка графического интерфейса, которая позволяет создавать разнообразные пользовательские интерфейсы и реализовывать сложную графику. С помощью этого инструмента разработчики могут реализовывать различные возможности, такие как рисование, анимация и обработка событий.</p>	android_interview android
Что такое SurfaceView?	<p><b>SurfaceView</b> — это подкласс View, который предоставляет отдельный слой, на котором можно рисовать, не блокируя основной поток пользовательского интерфейса. Это полезно для рендеринга анимаций или видео, где требуется высокая производительность и меньшее взаимодействие с основным потоком UI.</p>	android_interview android
Relative Layout против Linear Layout.	<ul><li><b>Relative Layout</b> позволяет размещать виджеты относительно друг друга или относительно родительского контейнера.</li><li><b>Linear Layout</b> размещает виджеты в линейной последовательности, горизонтально или вертикально.</li></ul>	android_interview android
Расскажите о Constraint Layout	<p><b>Constraint Layout</b> — это гибкий и мощный макет в Android, который позволяет создавать сложные пользовательские интерфейсы без вложенных макетов. Он предоставляет широкие возможности для определения ограничений для позиционирования и размера виджетов, что облегчает создание адаптивных интерфейсов.</p>	android_interview android
Знаете ли вы, что такое дерево View? Как можно оптимизировать его глубину? (ViewTreeObserver)	<p><b>Дерево из View</b> — это иерархическая структура, которая представляет все виджеты (views) и макеты (layouts), составляющие пользовательский интерфейс в Android приложении. Оптимизировать глубину дерева View можно путем уменьшения количества вложенных макетов, использования <b>ConstraintLayout</b> для упрощения иерархии и избегания лишних макетов, которые не вносят вклад в пользовательский интерфейс. <b>ViewTreeObserver</b> может использоваться для прослушивания различных событий в дереве View, таких, как момент перед отрисовкой, что может быть полезно для дополнительных оптимизаций.</p>	android_interview android
Чем отличается ListView от RecyclerView?	<ul><li><b>ListView</b> — это виджет для отображения списка данных в вертикальном порядке, который был частью Android с его первых версий. Он поддерживает базовую прокрутку и может отображать список, который подгружается в адаптер. Однако он имеет ограниченные возможности по настройке и не поддерживает разные типы элементов списка или сложные анимации.</li></ul><ul><li><b>RecyclerView</b> — это более продвинутый и гибкий компонент для отображения списков данных, введенный в Android Lollipop (API уровня 21). Он поддерживает как вертикальную, так и горизонтальную прокрутку, разные типы элементов, сложные анимации, а также имеет более эффективное переиспользование элементов списка через механизм <b>ViewHolder</b>. RecyclerView также позволяет легко реализовать разные виды лэйаутов, такие как список, сетка и стаггеред грид.</li></ul>	android_interview android
Как внутренне работает RecyclerView?	<p><b>RecyclerView</b> работает на основе адаптера, который управляет данными списка и связывает эти данные с видами, отображаемыми в RecyclerView. Ключевым компонентом является паттерн <b>ViewHolder</b>, который хранит ссылки на все подвиды каждого элемента списка для быстрого доступа без необходимости повторного поиска. При прокрутке списка RecyclerView переиспользует виды, которые вышли за пределы экрана, применяя к ним новые данные, что значительно повышает производительность и эффективность использования памяти.</p>	android_interview android
Оптимизация RecyclerView	<ul><li>Использование метода <b>setHasFixedSize(true)</b>, если размер RecyclerView не изменяется, что позволяет оптимизировать производительность.</li><li>Эффективное использование <b>ViewHolder</b> для минимизации вызовов <b>findViewById</b> внутри адаптера.</li><li>Избегание сложных операций в методе <b>onBindViewHolder</b> адаптера, таких как загрузка изображений без кэширования. Вместо этого рекомендуется использовать библиотеки для асинхронной загрузки изображений, например, Glide.</li><li>Оптимизация макетов элементов списка, избегая лишней вложенности.</li></ul>	android_interview android
Оптимизация вложенного RecyclerView	<ul><li>Убедитесь, что внешний RecyclerView и вложенные RecyclerView используют <b>setHasFixedSize(true)</b>, если их размеры не изменяются.</li><li>Используйте пулинг вьюхолдеров с помощью <b>setRecycledViewPool(RecyclerView.RecycledViewPool)</b> для переиспользования элементов в разных RecyclerView.</li><li>Минимизируйте количество вызовов <b>notifyDataSetChanged()</b> и используйте более конкретные методы уведомления об изменениях, такие как <b>notifyItemChanged(int)</b>, для улучшения производительности.</li></ul>	android_interview android
Что такое SnapHelper?	<p><b>SnapHelper</b> — это класс помощник, предназначенный для вспомогательной привязки (snapping) элементов RecyclerView к определенной точке на экране, обычно в центре или краях экрана, когда прокрутка останавливается. Это удобно, например, для создания галерей или каруселей, где требуется, чтобы элементы выравнивались относительно определенных точек.</p>	android_interview android
Что такое DiffUtils?	<p><b>DiffUtil</b> — это утилита, предоставляемая Android SDK, которая помогает вычислить разницу между двумя списками и выдать набор операций обновления, необходимых для преобразования одного списка в другой. Это может использоваться в адаптере RecyclerView для минимизации количества обновлений и повышения производительности, особенно когда изменения в данных минимальны. <b>DiffUtil</b> вычисляет минимальное количество изменений и автоматически обновляет список с анимациями, делая пользовательский интерфейс более плавным и отзывчивым.</p>	android_interview android
Что такое Dialog?	<p><b>Dialog</b> — это небольшое окно, которое появляется перед пользователем для выполнения действия или для отображения информации, не перекрывая полностью основной контент. Диалоги могут быть использованы для сбора пользовательского ввода через формы, отображения сообщений, выбора дат и других интерактивных элементов.</p>	android_interview android
Что такое Toast?	<p><b>Toast</b> — это маленькое всплывающее сообщение, которое отображается на короткое время и автоматически исчезает после истечения времени отображения. Toast обычно используется для отображения неинтерактивных сообщений, информирующих пользователя о каком-либо процессе (например, "Сообщение отправлено").</p>	android_interview android
В чем разница между Dialog и DialogFragment?	<p>Основная разница между <b>Dialog</b> и <b>DialogFragment</b> заключается в управлении жизненным циклом и встраивании в архитектуру приложения:</p><ul><li><b>Dialog</b> — это базовый класс для диалогов, который может быть использован напрямую, но его управление в контексте жизненного цикла активности может быть сложным.</li><li><b>DialogFragment</b> — это фрагмент, который предоставляет API для отображения диалога. Использование DialogFragment рекомендуется, так как он лучше интегрируется в жизненный цикл активности или фрагмента, позволяя управлять диалогом так же, как и другими компонентами Android.</li></ul>	android_interview android
Что такое Intent?	<p><b>Intent</b> — это абстрактное описание операции, которое должно быть выполнено. В Android Intent используется для запуска активностей, сервисов и для передачи сообщений между компонентами приложения или разными приложениями.</p>	android_interview android
Что такое неявный Intent (Implicit Intent)?	<p>Неявный <b>Intent</b> не указывает прямо на компонент, который должен обработать действие. Вместо этого он определяет общее действие, которое может быть выполнено любым приложением или компонентом, способным его обработать. Примером может служить намерение открыть веб-страницу, где не указан конкретный браузер, но задано действие <b>ACTION_VIEW</b>.</p>	android_interview android
Что такое явный Intent (Explicit Intent)?	<p>Явный <b>Intent</b> указывает непосредственно на компонент, который должен обработать действие, включая имя пакета или полное имя класса компонента. Явные Intent обычно используются для запуска компонентов внутри того же приложения.</p>	android_interview android
Что такое BroadcastReceiver?	<p><b>BroadcastReceiver</b> — это компонент приложения, который позволяет реагировать на широковещательные сообщения от других приложений или от самой системы. Эти сообщения могут касаться различных событий, таких как изменение заряда батареи, получение SMS или изменение сетевого состояния.</p>	android_interview android
Что такое липкий Intent (Sticky Intent)?	<p><b>Липкий Intent (Sticky Intent)</b> — это широковещательное сообщение, которое после отправки "застревает" в системе, позволяя новым подписчикам на BroadcastReceiver получить данные события даже после его завершения. Примером использования может быть запрос текущего состояния батареи. Следовательно, вы можете использовать это для определения состояния батареи без обязательной регистрации всех будущих изменений состояния батареи.</p>	android_interview android
Опишите, как работают Broadcasts и intents, чтобы передавать сообщения по вашему приложению?	<p><b>Broadcasts</b> и <b>intents</b> позволяют компонентам приложения общаться между собой без необходимости напрямую связывать их код. <b>Intents</b> могут быть использованы для явного запуска компонентов внутри приложения или для неявного запроса действий от других приложений. <b>Broadcasts</b> позволяют отправлять широковещательные сообщения системе или приложениям, на которые подписаны <b>BroadcastReceivers</b>, реагирующие на определенные события или интенты.</p>	android_interview android
Что такое PendingIntent?	<p><b>PendingIntent</b> — это токен, который вы передаете внешнему приложению (например, уведомлению, виджету), который позволяет этому приложению использовать разрешение вашего приложения для выполнения предопределенной операции. В основном, <b>PendingIntent</b> используется для уведомлений, чтобы открыть активность или выполнить сервис при нажатии на уведомление.</p>	android_interview android
Какие существуют различные типы Broadcasts?	TODO	android_interview android
Что такое Service?	<p><b>Service</b> – это компонент приложения, который может выполнять длительные операции в фоновом режиме и не предоставляет пользовательского интерфейса. Другими словами, это способ выполнить некоторые действия в фоне, например, проигрывание музыки, загрузку файлов и т. д., без взаимодействия с пользовательским интерфейсом. Сервисы могут быть как связанными (bound), так и несвязанными. Связанный сервис предлагает клиент-серверный интерфейс, который позволяет компонентам (например, активности) взаимодействовать с сервисом, отправлять запросы, получать результаты через IPC (Межпроцессное взаимодействие). Несвязанный сервис обычно выполняется на заднем плане и не связан с каким-либо пользовательским интерфейсом или компонентом, который его запустил.</p>	android_interview android
Service vs IntentService	TODO	android_interview android
Что такое сервис переднего плана (Foreground Service)?	<p><b>Сервис переднего плана (Foreground Service)</b> – это сервис, который выполняется на переднем плане и обязательно показывает уведомление в строке состояния. Это уведомление информирует пользователя о том, что приложение выполняет некоторую задачу, которая требует внимания пользователя. Сервисы переднего плана обычно используются для задач, которые непосредственно влияют на работу пользователя с устройством, например, для проигрывания аудио или для выполнения активной задачи, такой как навигация. Использование сервиса переднего плана помогает обеспечить, что система не остановит ваше приложение, пока выполняется важная задача.</p>	android_interview android
Что такое JobScheduler?	<p><b>JobScheduler</b> – это системный сервис, доступный начиная с Android 5.0 (API уровень 21), который позволяет разработчикам планировать различные виды задач (работы) для выполнения в определенных условиях. С помощью JobScheduler можно управлять выполнением задач в зависимости от таких условий, как состояние сети, заряд батареи и другие. Это позволяет приложениям выполнять фоновые задачи более эффективно, экономя заряд батареи и ресурсы системы. Работы, запланированные с помощью JobScheduler, могут выполняться даже после перезагрузки устройства.</p>	android_interview android
Как могут взаимодействовать два разных приложения Android?	<ul><li><b>Интенты (Intents):</b> Интенты позволяют приложениям запрашивать функциональность от других приложений. Например, приложение может использовать интент для запуска камеры или выбора контакта из списка контактов.</li><li><b>Сервисы (Services)</b>: Приложение может использовать сервисы другого приложения для выполнения фоновых задач без взаимодействия с пользовательским интерфейсом.</li><li><b>Content Providers</b>: Позволяют делиться данными между приложениями. Например, приложение может обращаться к базе данных контактов через ContentProvider.</li><li><b>Межпроцессное взаимодействие (IPC)</b>: С использованием AIDL (Android Interface Definition Language) приложения могут обмениваться данными и объектами.</li></ul>	android_interview android
Возможно ли запускать приложение Android в нескольких процессах? Как?	<p>Да, приложение Android может работать в нескольких процессах. Это можно настроить в манифесте приложения, указав атрибут android:process в теге компонента (<code>&lt;activity&gt;</code>, <code>&lt;service&gt;</code>, <code>&lt;receiver&gt;</code>, <code>&lt;provider&gt;</code>). Каждый компонент может быть настроен на запуск в отдельном процессе, что позволяет приложению выполнять различные задачи в разных процессах одновременно.</p>	android_interview android
Что такое AIDL? Перечислите шаги по созданию ограниченного сервиса через AIDL.	<p><b>AIDL (Android Interface Definition Language)</b> используется для создания интерфейсов, которые позволяют клиентам взаимодействовать с сервисом через межпроцессное взаимодействие (IPC). Для создания ограниченного сервиса через AIDL необходимо выполнить следующие шаги:</p><p>1. <b>Определение интерфейса AIDL</b>: Создайте файл AIDL с описанием методов, которые должны быть доступны для клиентов.</p><p>2. <b>Реализация интерфейса</b>: Создайте класс, который реализует интерфейс, определенный в AIDL. Этот класс будет обрабатывать вызовы от клиентов.</p><p>3. <b>Регистрация сервиса в манифесте</b>: Укажите сервис в AndroidManifest.xml, добавив соответствующий тег &lt;service&gt;.</p><p>4. <b>Привязка к сервису</b>: Клиенты могут привязаться к сервису, используя bindService(), чтобы начать взаимодействие с ним.</p>	android_interview android
Что можно использовать для фоновой обработки в Android?	<ul><li><b>Сервисы (Services)</b>: Для выполнения длительных задач на фоне.</li><li><b>JobScheduler</b>: Для планирования задач, которые должны выполняться при определенных условиях.</li><li><b>WorkManager</b>: Для гарантированного выполнения фоновых задач и работы с ограничениями, накладываемыми системой на фоновую работу.</li><li><b>IntentService</b>: Для обработки асинхронных запросов через интенты на фоне.</li></ul>	android_interview android
Что такое ContentProvider и для чего он обычно используется?	<p><b>ContentProvider</b> – это компонент приложения, который позволяет делиться данными между разными приложениями. Он предоставляет структурированный интерфейс к данным, хранящимся в файловой системе, базе данных SQLite, вебе или любом другом постоянном хранилище данных, которым управляет приложение. <b>ContentProvider</b> чаще всего используется для доступа к данным в разных приложениях, например, для доступа к контактам, календарю и другим личным данным пользователя.</p>	android_interview android
Как выполнить параллельные задачи и получить обратный вызов, когда все они завершены?	<ul><li><b>Future</b> и <b>ExecutorService</b>: Создайте пул потоков с помощью <b>ExecutorService</b> и запустите задачи в виде объектов <b>Callable</b> или <b>Runnable</b>. Используйте <b>Future</b> для отслеживания состояния выполнения каждой задачи. После завершения всех задач можно выполнить обратный вызов.</li></ul><ul><li><b>CountDownLatch</b>: Этот инструмент позволяет одному или нескольким потокам ожидать завершения определенного количества операций в других потоках. Инициализируйте CountDownLatch с числом параллельных задач и уменьшайте счетчик при завершении каждой задачи. Когда счетчик достигнет нуля, можно выполнить обратный вызов.</li></ul><ul><li><b>RxJava</b>: Библиотека для реактивного программирования, которая позволяет эффективно управлять асинхронными задачами и обработкой событий. С помощью операторов zip или merge можно объединить результаты нескольких асинхронных операций и получить уведомление при их завершении.</li></ul><ul><li><b>Kotlin Coroutines</b>: В Kotlin для параллельного выполнения задач и получения результатов можно использовать корутины с применением функций <b>async</b> и <b>await</b> внутри <b>CoroutineScope</b>. Это позволяет писать асинхронный код, который выглядит как синхронный, и легко получать результаты выполнения задач.</li></ul>	android_interview android
Что такое ANR? Как можно предотвратить ANR?	<p><b>ANR (Application Not Responding)</b> – это ошибка, которая происходит, когда приложение не отвечает на ввод пользователя в течение 5 секунд. Чаще всего ANR возникает, если приложение выполняет длительные операции в главном потоке (UI thread).</p><p>  </p><p><i><b>Предотвращение ANR:</b></i></p><ul><li><b>Использование фоновых потоков</b>: Выполняйте длительные операции (например, сетевые запросы, обращение к базе данных) в фоновых потоках, не блокируя главный поток.</li><li><b>AsyncTask</b> (до API уровня 30): AsyncTask позволял выполнять асинхронные операции на фоне, но был объявлен устаревшим. Вместо него рекомендуется использовать другие механизмы асинхронной работы.</li><li><b>Использование WorkManager, JobScheduler</b>: Эти компоненты предназначены для выполнения фоновых задач, учитывая ограничения системы и оптимизируя использование ресурсов.</li></ul>	android_interview android
Что такое AsyncTask (Устарел в API уровня 30)?	<p><b>AsyncTask</b> позволял выполнять асинхронные операции в фоне и публиковать результаты на главном потоке без необходимости напрямую управлять потоками. Однако начиная с API уровня 30, AsyncTask был объявлен устаревшим из-за ряда недостатков и ограничений.</p>	android_interview android
Какие проблемы у AsyncTask?	<ul><li><b>Утечки памяти</b>: AsyncTask может удерживать ссылку на контекст активности, что может привести к утечке памяти, если активность будет уничтожена до завершения задачи.</li><li><b>Сложность управления жизненным циклом</b>: AsyncTask не связан с жизненным циклом компонентов UI, что затрудняет управление ресурсами и обновление UI по завершении задачи.</li><li><b>Ограничения на параллельное выполнение</b>: По умолчанию задачи, выполняемые с помощью AsyncTask, запускались последовательно, что могло замедлять выполнение параллельных операций.</li></ul>	android_interview android
Объясните Looper, Handler и HandlerThread.	<ul><li><b>Looper</b> управляет очередью сообщений (Message Queue) для потока. Он зацикливает поток, ожидая входящие задачи (сообщения или выполнимые объекты) и распределяет их для обработки.</li><li><b>Handler</b> связывает Looper с кодом, позволяя отправлять и обрабатывать сообщения и выполнимые объекты в очереди <b>Looper</b>. <b>Handler</b> может использоваться для обновления пользовательского интерфейса из фонового потока.</li><li><b>HandlerThread</b> – это вспомогательный класс, создающий поток с собственным <b>Looper</b>, что делает его подходящим для фоновой обработки задач, требующих последовательного выполнения.</li></ul>	android_interview android
